annotation_id,annotator,choice,created_at,id,image,lead_time,updated_at
101,3,Trucks,2025-01-25T20:52:13.081092Z,14420,/data/upload/14/b8b4d61c-img_560.jpg,14.271,2025-01-25T20:52:13.081110Z
102,3,No Trucks,2025-01-25T20:52:18.417006Z,14421,/data/upload/14/22fa9824-img_561.jpg,2.829,2025-01-25T20:52:18.417024Z
103,3,No Trucks,2025-01-25T20:52:23.639444Z,14422,/data/upload/14/4ef4ac62-img_562.jpg,3.638,2025-01-25T20:52:23.639457Z
104,3,No Trucks,2025-01-25T20:52:28.645721Z,14423,/data/upload/14/a08600ed-img_563.jpg,3.328,2025-01-25T20:52:28.645737Z
105,3,No Trucks,2025-01-25T20:52:33.533517Z,14424,/data/upload/14/25a05d6f-img_564.jpg,3.386,2025-01-25T20:52:33.533536Z
106,3,Trucks,2025-01-25T20:52:38.797804Z,14425,/data/upload/14/c8d19546-img_565.jpg,3.899,2025-01-25T20:52:38.797820Z
107,3,No Trucks,2025-01-25T20:52:44.735646Z,14426,/data/upload/14/0d45c25b-img_566.jpg,4.663,2025-01-25T20:52:44.735663Z
108,3,No Trucks,2025-01-25T20:52:49.856752Z,14427,/data/upload/14/2ad20e01-img_567.jpg,3.762,2025-01-25T20:52:49.856775Z
109,3,Trucks,2025-01-25T20:52:55.157416Z,14428,/data/upload/14/a4849bdb-img_568.jpg,3.916,2025-01-25T20:52:55.157432Z
110,3,No Trucks,2025-01-25T20:52:59.880077Z,14429,/data/upload/14/1fd9a3fe-img_569.jpg,3.336,2025-01-25T20:52:59.880093Z
111,3,No Trucks,2025-01-25T20:53:06.841200Z,14430,/data/upload/14/f276316d-img_570.jpg,4.782,2025-01-25T20:53:06.841217Z
112,3,Trucks,2025-01-25T20:53:11.529600Z,14431,/data/upload/14/e89f81f5-img_571.jpg,3.433,2025-01-25T20:53:11.529619Z
113,3,No Trucks,2025-01-25T20:53:15.647221Z,14432,/data/upload/14/e84fbe16-img_572.jpg,2.996,2025-01-25T20:53:15.647241Z
114,3,Trucks,2025-01-25T20:53:22.147567Z,14433,/data/upload/14/6ad0e8e0-img_573.jpg,3.807,2025-01-25T20:53:22.147581Z
115,3,No Trucks,2025-01-25T20:53:27.721017Z,14434,/data/upload/14/ec0972e9-img_574.jpg,4.154,2025-01-25T20:53:27.721033Z
116,3,No Trucks,2025-01-25T20:53:33.802626Z,14435,/data/upload/14/ad980a7a-img_575.jpg,4.293,2025-01-25T20:53:33.802642Z
117,3,No Trucks,2025-01-25T20:53:38.984308Z,14436,/data/upload/14/e21c75dc-img_576.jpg,3.402,2025-01-25T20:53:38.984328Z
118,3,No Trucks,2025-01-25T20:53:42.943085Z,14437,/data/upload/14/fcf2e752-img_577.jpg,2.603,2025-01-25T20:53:42.943105Z
119,3,Trucks,2025-01-25T20:53:48.006458Z,14438,/data/upload/14/185abdf4-img_578.jpg,3.932,2025-01-25T20:53:48.006474Z
120,3,No Trucks,2025-01-25T20:53:51.578913Z,14439,/data/upload/14/c377c5ef-img_579.jpg,2.308,2025-01-25T20:53:51.578930Z
